Age Mya,dC,Depth,Age kya compressed,Plotting Age
,2.4,3200,209446.5062,10498.49383
,2.7,3202,209475.3128,10469.68724
,3.3,3204,209504.1193,10440.88066
,4.8,3206,209532.9259,10412.07407
,4.7,3208,209561.7325,10383.26749
,6.3,3210,209590.5391,10354.46091
,5.9,3212,209619.3457,10325.65432
,5.3,3216,209676.9588,10268.04115
,6,3220,209734.572,10210.42798
,5.6,3224,209792.1852,10152.81482
,6.5,3226,209820.9918,10124.00823
,4.5,3228,209849.7984,10095.20165
,4.2,3240,210022.6379,9922.36214
,6.1,3250,210166.6708,9778.329218
,7.1,3260,210310.7037,9634.296296
,2.4,3276,210541.1564,9403.843621
,1.5,3280,210598.7695,9346.230453
,-0.6,3300,210886.8354,9058.164609
,1.3,3320,211174.9012,8770.098765
,1.1,3326,211261.321,8683.679012
,1,3340,211462.9671,8482.032922
,0.9,3350,211607,8338
,0,3360,211751.0329,8193.967078
,-0.7,3376,211981.4856,7963.514403
,-1.6,3380,212039.0988,7905.901235
,-3.5,3396,212269.5514,7675.44856
,-3.5,3400,212327.1646,7617.835391
,-4,3404,212384.7778,7560.222222
,-4.4,3408,212442.3909,7502.609053
,-4.5,3412,212500.0041,7444.995885
,-4.5,3416,212557.6173,7387.382716
,-4.5,3420,212615.2305,7329.769547
,-4.6,3426,212701.6502,7243.349794
,-4.3,3428,212730.4568,7214.54321
,-4.8,3432,212788.07,7156.930041
,-4.7,3436,212845.6831,7099.316872
,-4.8,3440,212903.2963,7041.703704
,-4.9,3444,212960.9095,6984.090535
,-3.7,3450,213047.3292,6897.670782
,-5,3456,213133.749,6811.251029
,-5.4,3460,213191.3621,6753.63786
,-5.5,3464,213248.9753,6696.024691
,-5.3,3468,213306.5885,6638.411523
,-5.6,3472,213364.2016,6580.798354
,-5.6,3476,213421.8148,6523.185185
,-5.6,3480,213479.428,6465.572016
,-5.7,3486,213565.8477,6379.152263
,-5.8,3490,213623.4609,6321.539095
,-5.9,3494,213681.0741,6263.925926
,-6.1,3500,213767.4938,6177.506173
,-5.8,3506,213853.9136,6091.08642
,-6,3510,213911.5267,6033.473251
,-6.2,3512,213940.3333,6004.666667
,-6.3,3516,213997.9465,5947.053498
,-6.5,3520,214055.5597,5889.440329
,-6.5,3526,214141.9794,5803.020576
,-6.8,3530,214199.5926,5745.407407
,-6.9,3536,214286.0123,5658.987654
,-6.6,3540,214343.6255,5601.374486
,-6.7,3546,214430.0453,5514.954733
,-6.8,3550,214487.6584,5457.341564
,-6.9,3556,214574.0782,5370.921811
,-7.1,3560,214631.6914,5313.308642
,-7.1,3564,214689.3045,5255.695473
,-7.1,3566,214718.1111,5226.888889
,-7.3,3570,214775.7243,5169.27572
,-7.4,3574,214833.3374,5111.662551
,-7.4,3576,214862.144,5082.855967
,-7.5,3580,214919.7572,5025.242798
,-8.1,3586,215006.177,4938.823045
,-8.3,3590,215063.7901,4881.209877
,-8.2,3596,215150.2099,4794.790123
,-8.5,3600,215207.823,4737.176955
,-8.4,3606,215294.2428,4650.757202
,-8.5,3610,215351.856,4593.144033
,-8.4,3616,215438.2757,4506.72428
,-8.4,3620,215495.8889,4449.111111
,-9.2,3624,215553.5021,4391.497942
,-9.5,3630,215639.9218,4305.078189
,-7.7,3648,215899.1811,4045.81893
,-8.5,3650,215927.9877,4017.012346
,-8.7,3652,215956.7942,3988.205761
,-9.7,3658,216043.214,3901.786008
,-9.5,3660,216072.0206,3872.979424
,-9.3,3662,216100.8272,3844.17284
,-10,3670,216216.0535,3728.946502
,-8.8,3680,216360.0864,3584.91358
,-7.7,3682,216388.893,3556.106996
,-7.6,3686,216446.5062,3498.493827
,-8.1,3690,216504.1193,3440.880658
,-8.5,3692,216532.9259,3412.074074
,-8.6,3696,216590.5391,3354.460905
,-9.2,3700,216648.1523,3296.847737
,-8.9,3702,216676.9588,3268.041152
,-7.2,3706,216734.572,3210.427984
,-7.7,3712,216820.9918,3124.00823
,-7.9,3716,216878.6049,3066.395062
,-8.5,3720,216936.2181,3008.781893
,-8.5,3722,216965.0247,2979.975309
,-8.9,3726,217022.6379,2922.36214
,-10.7,3730,217080.251,2864.748971
,-10.8,3732,217109.0576,2835.942387
,-11,3736,217166.6708,2778.329218
,-11.7,3740,217224.284,2720.716049
,-11.9,3742,217253.0905,2691.909465
,-11.8,3746,217310.7037,2634.296296
,-12,3750,217368.3169,2576.683128
,-10.7,3752,217397.1235,2547.876543
,-10.5,3756,217454.7366,2490.263374
,-10.5,3760,217512.3498,2432.650206
,-9.1,3762,217541.1564,2403.843621
,-9.8,3770,217656.3827,2288.617284
,-7.8,3780,217800.4156,2144.584362
,-8.9,3790,217944.4486,2000.55144
,-8,3796,218030.8683,1914.131687
,-8.1,3800,218088.4815,1856.518519
,-6.4,3802,218117.2881,1827.711934
,-5.8,3804,218146.0947,1798.90535
,-5.4,3806,218174.9012,1770.098765
,-3.5,3810,218232.5144,1712.485597
,-3.1,3812,218261.321,1683.679012
,-4.3,3816,218318.9342,1626.065844
,-2.3,3820,218376.5473,1568.452675
,-0.6,3826,218462.9671,1482.032922
,0,3830,218520.5802,1424.419753
,1.8,3836,218607,1338
