Age Mya,dC,Age kya,Age kya compressed,Plotting Age
630.1942479,-29.8,630194,241057,-21112
629.0222284,-30.1,629022,240609,-20664
626.7995636,-30.1,626799,239759,-19814
623.3138487,-29.7,623313,238425,-18480
622.4073352,-31.7,622407,238079,-18134
620.6322377,-29.3,620632,237400,-17455
619.608143,-30,619608,237008,-17063
618.9329991,-31.1,618932,236749,-16804
617.127558,-29,617127,236059,-16114
615.9782962,-28.9,615978,235620,-15675
615.6407242,-29,615640,235490,-15545
614.9048932,-29.1,614904,235209,-15264
613.8845915,-28.9,613884,234819,-14874
613.6001207,-29.7,613600,234710,-14765
613.5432266,-30.1,613543,234688,-14743
612.8908403,-29.5,612890,234438,-14493
609.0675534,-28.3,609067,232976,-13031
609.0675534,-26.6,609067,232976,-13031
608.9992804,-28.1,608999,232950,-13005
602.7219591,-27.8,602721,230549,-10604
600.8330734,-28.3,600833,229826,-9881
600.8330734,-29.2,600833,229826,-9881
600.7723863,-28.5,600772,229803,-9858
598.5724791,-30.2,598572,228961,-9016
596.971857,-29.2,596971,228349,-8404
596.4105014,-29.1,596410,228134,-8189
595.7998375,-30.2,595799,227901,-7956
594.2902461,-28.9,594290,227324,-7379
592.0637883,-30,592063,226472,-6527
592.0599954,-28.6,592059,226470,-6525
592.0599954,-28,592059,226470,-6525
591.3772656,-28.4,591377,226209,-6264
591.1952043,-29.9,591195,226140,-6195
591.1952043,-31,591195,226140,-6195
591.1914113,-28.6,591191,226138,-6193
590.0421495,-28.5,590042,225699,-5754
590.0421495,-28.1,590042,225699,-5754
590.0383565,-28.1,590038,225697,-5752
589.9624977,-29.4,589962,225668,-5723
587.2695079,-30,587269,224638,-4693
587.0343454,-29.3,587034,224548,-4603
586.389545,-28.4,586389,224301,-4356
586.1657614,-27.7,586165,224216,-4271
585.4982033,-29.4,585498,223960,-4015
585.4982033,-29,585498,223960,-4015
585.3995868,-28.1,585399,223923,-3978
585.2933844,-26.7,585293,223882,-3937
585.2933844,-28.3,585293,223882,-3937
585.2857985,-28.1,585285,223879,-3934
584.986156,-25.2,584986,223765,-3820
584.986156,-29.4,584986,223765,-3820
584.1327437,-27.5,584132,223438,-3493
584.1213649,-26.8,584121,223434,-3489
584.1213649,-26.4,584121,223434,-3489
583.9886119,-28.4,583988,223383,-3438
583.7496565,-28.5,583749,223291,-3346
583.2148514,-27.5,583214,223087,-3142
583.2148514,-27.8,583214,223087,-3142
582.8317642,-29.1,582831,222940,-2995
582.4259192,-28.9,582425,222785,-2840
581.4625116,-27.2,581462,222417,-2472
581.3107939,-32.4,581310,222359,-2414
580.5104828,-32.3,580510,222053,-2108
580.0060214,-28.3,580006,221860,-1915
578.4698793,-27.1,578469,221272,-1327
578.1929944,-26.2,578192,221166,-1221
576.55065,-29.1,576550,220538,-593
576.55065,-29.2,576550,220538,-593
576.3913463,-27.5,576391,220477,-532
574.468324,-25.4,574468,219741,204
574.0586862,-22.4,574058,219585,360
572.3177252,-26.1,572317,218919,1026
571.0205385,-27.1,571020,218422,1523
569.4806035,-28.2,569480,217833,2112
568.8206314,-24.4,568820,217581,2364
568.7030501,-22,568703,217536,2409
568.5740901,-24.8,568574,217487,2458
568.0089415,-22.3,568008,217270,2675
567.8837744,-26.6,567883,217223,2722
567.8344661,-25.5,567834,217204,2741
567.7699861,-25.7,567769,217179,2766
567.2541458,-28.4,567254,216982,2963
566.5903807,-32.6,566590,216728,3217
566.4121123,-24.2,566412,216660,3285
565.0807892,-24.7,565080,216150,3795
563.5105107,-22.9,563510,215550,4395
560.7606267,-34.8,560760,214498,5447
553.1671541,-37.1,553167,211593,8352
553.1140529,-34.9,553114,211573,8372
553.106467,-37.3,553106,211570,8375
553.0647447,-38.7,553064,211554,8391
553.0078505,-37,553007,211532,8413
553.0040576,-36.5,553004,211531,8414
553.0040576,-36.9,553004,211531,8414
552.7916527,-36.7,552791,211450,8495
552.4844243,-36.6,552484,211332,8613
552.4730455,-37.4,552473,211328,8617
552.4578737,-35.4,552457,211322,8623
552.237883,-35,552237,211238,8707
552.237883,-36.4,552237,211238,8707
551.6234262,-32.2,551623,211003,8942
551.4906732,-30.3,551490,210952,8993
551.3579201,-32,551357,210901,9044
551.0013835,-32.4,551001,210765,9180
545.6419545,-25.4,545641,208715,11230
539.315325,-27.6,539315,206295,13650
531.5208264,-27.2,531520,203313,16632
531.5132405,-26.2,531513,203310,16635
